count,diff_srv_rate,dst_bytes,dst_host_count,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,duration,hot,last_flag,logged_in,num_compromised,srv_count,srv_diff_host_rate
11,0.0,12894,255,0.0,0.0,0.0,0,0,21,1,0,11,0.0
1,0.0,688,53,0.08,0.02,0.0,8,4,1,1,0,1,0.0
113,0.0,71,255,0.01,0.0,0.0,0,0,20,0,0,113,0.0
15,0.0,0,203,0.01,0.38,0.02,0,0,21,0,0,15,0.0
144,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,8,0.0
13,0.0,4968,13,0.0,0.08,0.01,0,0,21,1,0,13,0.0
29,0.0,2715,29,0.0,0.03,0.04,0,0,21,1,0,37,0.08
49,0.0,3228,255,0.0,0.0,0.0,0,0,21,1,0,50,0.04
266,0.06,0,255,0.06,0.0,0.0,0,0,20,0,0,8,0.0
8,0.0,3236,255,0.0,0.0,0.0,0,0,21,1,0,21,0.1
281,0.06,0,255,0.07,0.0,0.0,0,0,19,0,0,6,0.0
4,0.0,8314,255,0.01,0.0,0.0,0,2,12,1,1,24,0.08
1,0.0,0,91,0.03,0.01,0.03,0,0,18,0,0,12,0.92
68,0.0,45,255,0.0,0.26,0.0,0,0,14,0,0,68,0.0
3,0.0,488,3,0.0,0.33,0.04,0,0,21,1,0,16,0.12
1,0.0,4926,255,0.02,0.0,0.0,0,0,21,1,0,41,0.07
239,0.06,0,255,0.07,0.0,0.0,0,0,20,0,0,7,0.0
201,0.08,0,255,0.08,0.0,0.0,0,0,21,0,0,3,0.0
1,0.0,599,255,0.02,0.0,0.0,282,2,13,1,0,1,0.0
1,0.0,509,21,0.0,0.05,0.04,0,0,21,1,0,1,0.0
280,0.06,0,255,0.06,0.0,0.0,0,0,18,0,0,8,0.0
2,0.0,146,9,0.0,0.11,0.0,0,0,3,0,0,2,0.0
1,0.0,44,255,0.03,0.0,0.0,7428,0,18,0,0,1,0.0
8,0.0,396,255,0.0,0.0,0.0,0,0,21,1,0,8,0.0
1,0.0,93,255,0.02,0.0,0.0,4,0,18,1,0,1,0.0
2,0.0,0,7,0.29,0.86,0.2,280,0,9,0,0,2,0.0
3,0.0,2239,255,0.02,0.0,0.0,0,0,21,1,0,3,0.0
2,0.0,8712,255,0.0,0.0,0.0,0,0,21,1,0,20,0.2
412,1.0,0,255,0.96,0.0,0.0,0,0,17,0,0,1,0.0
30,0.0,645,255,0.0,0.0,0.0,0,0,21,1,0,30,0.0
4,1.0,0,106,0.05,0.01,0.02,0,0,15,0,0,6,0.83
109,0.06,0,255,0.07,0.0,0.0,0,0,21,0,0,13,0.0
114,0.06,0,255,0.05,0.0,0.0,0,0,20,0,0,1,0.0
19,0.0,651,255,0.0,0.0,0.0,0,0,21,1,0,19,0.0
216,0.06,0,255,0.07,0.0,0.0,0,0,21,0,0,14,0.0
1,0.0,83,61,0.07,0.02,0.01,0,0,21,1,0,2,1.0
2,0.0,484,10,0.0,0.1,0.05,0,0,21,1,0,2,0.0
8,0.0,1667,85,0.0,0.01,0.04,0,0,21,1,0,30,0.17
251,0.06,0,255,0.06,0.0,0.0,0,0,19,0,0,3,0.0
1,0.0,430,40,0.0,0.03,0.04,0,0,21,1,0,1,0.0
11,0.0,3691,81,0.0,0.01,0.03,0,0,21,1,0,11,0.0
1,0.0,15,255,0.03,0.0,0.0,8092,0,8,0,0,1,0.0
2,0.0,1332,7,0.0,0.14,0.04,0,0,21,1,0,2,0.0
24,0.0,283,255,0.0,0.0,0.0,0,0,21,1,0,29,0.1
267,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,19,0.0
231,0.07,0,255,0.07,0.0,0.0,0,0,21,0,0,6,0.0
1,0.0,0,1,0.0,1.0,0.52,0,0,17,0,0,1,0.0
4,0.0,1310,4,0.0,0.25,0.08,0,0,21,1,0,4,0.0
26,0.0,1012,255,0.0,0.0,0.0,0,0,21,1,0,26,0.0
5,0.0,1093,69,0.0,0.01,0.01,0,0,21,1,0,8,0.38
58,0.07,0,255,0.11,0.0,0.0,0,0,19,0,0,19,0.0
3,1.0,36,189,0.03,0.01,0.03,0,0,15,1,0,7,1.0
3,0.0,10503,255,0.0,0.0,0.0,0,0,21,1,0,3,0.0
1,0.0,0,36,0.11,0.19,0.0,0,0,20,0,0,1,0.0
14,0.0,910,14,0.0,0.07,0.03,0,0,21,1,0,15,0.13
8,0.0,2789,255,0.0,0.0,0.0,0,0,21,1,0,8,0.0
103,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,4,0.0
1,0.0,0,255,0.02,0.0,0.0,0,0,17,0,0,1,0.0
1,0.0,93,255,0.01,0.0,0.0,3,0,17,1,0,1,0.0
1,0.0,83,110,0.13,0.01,0.0,0,0,21,1,0,1,0.0
6,0.0,4532,96,0.0,0.01,0.02,0,0,21,1,0,6,0.0
3,0.0,113,255,0.01,0.0,0.0,0,0,21,0,0,5,0.4
1,0.0,0,30,1.0,1.0,0.0,0,0,18,0,0,1,0.0
119,0.07,0,255,0.06,0.0,0.0,0,0,20,0,0,7,0.0
497,1.0,0,255,1.0,0.0,0.0,0,0,20,0,0,1,0.0
1,0.0,157,155,0.03,0.01,0.0,0,0,7,0,0,1,0.0
217,0.07,0,255,0.07,0.0,0.0,0,0,21,0,0,6,0.0
106,0.08,0,255,0.06,0.0,0.0,0,0,21,0,0,15,0.0
1,0.0,330,62,0.05,0.02,0.05,1,0,21,1,0,1,0.0
239,0.07,0,255,0.07,0.0,0.0,0,0,21,0,0,12,0.0
1,0.0,1608,248,0.03,0.0,0.0,31,1,0,1,1,1,0.0
2,0.0,1830,26,0.0,0.04,0.05,0,0,21,1,0,2,0.0
117,0.06,0,255,0.05,0.0,0.0,0,0,21,0,0,10,0.0
25,0.0,843,25,0.0,0.04,0.06,0,0,21,1,0,25,0.0
1,0.0,14086,151,0.0,0.01,0.0,0,0,21,1,0,1,0.0
228,0.07,0,255,0.08,0.0,0.0,0,0,21,0,0,15,0.0
1,0.0,15,255,0.03,0.0,0.0,8080,0,8,0,0,1,0.0
1,0.0,15,255,0.04,0.0,0.0,8124,0,8,0,0,1,0.0
3,0.0,278,255,0.0,0.0,0.0,0,0,21,1,0,5,0.4
259,0.07,0,255,0.07,0.0,0.0,0,0,21,0,0,20,0.0
16,0.0,372,255,0.0,0.0,0.0,0,0,21,1,0,17,0.12
173,0.0,0,255,0.01,1.0,0.0,0,0,21,0,0,173,0.0
282,0.06,0,255,0.07,0.0,0.0,0,0,20,0,0,17,0.0
5,0.0,0,255,0.01,0.0,0.0,0,0,15,0,0,5,0.0
6,0.0,289,30,0.0,0.03,0.01,0,0,21,1,0,11,0.36
511,0.0,0,255,0.02,0.75,0.0,0,0,18,0,0,511,0.0
1,0.0,0,80,1.0,1.0,0.0,0,0,19,0,0,1,0.0
132,0.05,0,255,0.06,0.0,0.0,0,0,21,0,0,12,0.0
1,0.0,447,74,0.31,0.01,0.2,0,0,21,0,0,2,1.0
208,0.01,78,255,0.01,0.01,0.0,0,0,18,0,0,207,0.0
2,0.0,174,255,0.0,0.0,0.0,0,0,16,0,0,2,0.0
226,0.07,0,255,0.08,0.0,0.0,0,0,21,0,0,2,0.0
3,0.0,633,171,0.0,0.01,0.03,0,0,21,1,0,4,0.5
7,0.0,42,220,0.0,0.0,0.0,0,0,21,0,0,12,0.25
13,0.0,42,255,0.0,0.01,0.0,0,0,21,0,0,19,0.11
1,0.0,5881,1,0.0,1.0,0.03,0,0,21,1,0,49,0.12
1,0.0,44,255,0.02,0.0,0.0,0,0,18,0,0,1,0.0
11,0.0,4027,105,0.0,0.01,0.02,0,0,21,1,0,11,0.0
1,0.0,44,255,0.31,0.0,0.0,7554,0,18,0,0,1,0.0
1,0.0,247,131,0.0,0.01,0.03,0,0,21,1,0,3,0.67
218,0.06,0,255,0.07,0.0,0.0,0,0,21,0,0,19,0.0
1,0.0,0,255,0.01,0.0,0.0,0,0,12,0,0,1,0.0
3,0.67,44,186,0.03,0.01,0.03,0,0,15,0,0,3,1.0
15,0.0,287,255,0.0,0.0,0.0,0,0,21,1,0,15,0.0
4,0.0,2267,11,0.0,0.09,0.03,0,0,21,1,0,5,0.4
4,0.0,42,255,0.01,0.0,0.0,0,0,21,0,0,5,0.4
131,0.06,0,255,0.05,0.0,0.0,0,0,21,0,0,5,0.0
269,0.07,0,255,0.07,0.0,0.0,0,0,21,0,0,7,0.0
11,0.0,0,255,0.01,0.0,0.0,2079,0,14,1,0,11,0.0
1,0.0,0,2,0.0,1.0,0.5,0,0,16,0,0,14,1.0
1,0.0,0,160,0.02,0.01,0.02,0,0,18,0,0,9,0.56
109,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,5,0.0
4,0.0,8745,206,0.0,0.0,0.01,0,0,21,1,0,4,0.0
1,0.0,44,255,0.24,0.0,0.0,7466,0,18,0,0,1,0.0
1,0.0,188,255,0.01,0.0,0.0,0,0,10,0,0,1,0.0
200,0.06,0,255,0.07,0.0,0.0,0,0,21,0,0,8,0.0
1,0.0,0,90,1.0,0.01,0.52,0,0,15,0,0,3,0.67
3,0.0,293,255,0.13,0.0,0.0,1,0,11,1,0,3,0.0
19,0.0,651,166,0.0,0.01,0.04,0,0,21,1,0,21,0.1
267,0.06,0,255,0.07,0.0,0.0,0,0,21,0,0,11,0.0
1,0.0,15,255,0.82,0.0,0.0,8169,0,12,0,0,1,0.0
286,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,18,0.0
179,0.08,0,255,0.08,0.0,0.0,0,0,18,0,0,19,0.0
203,0.06,0,255,0.07,0.0,0.0,0,0,21,0,0,14,0.0
273,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,3,0.0
239,0.07,0,255,0.08,0.0,0.0,0,0,19,0,0,20,0.0
461,1.0,0,255,1.0,0.0,0.0,0,0,18,0,0,1,0.0
198,0.07,0,255,0.07,0.0,0.0,0,0,21,0,0,1,0.0
1,0.0,601,255,0.03,0.0,0.0,282,2,13,1,0,1,0.0
110,0.07,0,255,0.06,0.0,0.0,0,0,21,0,0,9,0.0
216,0.06,0,255,0.07,0.0,0.0,0,0,21,0,0,7,0.0
1,0.0,595,255,0.21,0.0,0.0,281,2,11,1,0,1,0.0
8,0.0,8558,72,0.0,0.01,0.04,0,0,21,1,0,19,0.26
158,0.11,0,255,0.1,0.0,0.0,0,0,21,0,0,5,0.0
1,0.0,44,255,0.02,0.0,0.0,7526,0,18,0,0,1,0.0
2,0.0,26746,67,0.0,0.01,0.04,0,0,21,1,0,3,0.67
242,0.07,0,255,0.06,0.0,0.0,0,0,21,0,0,2,0.0
272,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,14,0.0
12,0.0,0,255,0.01,0.0,0.0,2079,0,14,1,0,12,0.0
10,0.0,771,255,0.0,0.0,0.0,0,0,21,1,0,35,0.14
510,1.0,0,255,1.0,0.0,0.0,0,0,20,0,0,1,0.0
444,1.0,0,255,1.0,0.0,0.0,0,0,18,0,0,1,0.0
1,0.0,174,255,0.02,0.0,0.0,0,0,12,0,0,1,0.0
1,0.0,332,149,0.03,0.01,0.02,1,0,21,1,0,3,1.0
321,0.0,0,255,0.0,1.0,0.0,0,0,18,0,0,321,0.0
120,0.0,44,255,0.0,0.01,0.0,0,0,18,0,0,200,0.01
1,0.0,11522,1,0.0,1.0,0.03,0,0,21,1,0,2,1.0
20,0.0,398,255,0.0,0.0,0.0,0,0,21,1,0,20,0.0
139,0.0,44,255,0.01,0.0,0.0,0,0,18,0,0,139,0.0
1,0.0,93,255,0.02,0.0,0.0,4,0,18,1,0,1,0.0
148,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,1,0.0
233,0.06,0,255,0.07,0.0,0.0,0,0,21,0,0,17,0.0
205,0.01,45,255,0.01,0.0,0.0,0,0,18,0,0,204,0.0
139,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,17,0.0
11,0.0,1071,255,0.0,0.0,0.0,0,0,21,1,0,12,0.17
1,0.0,44,255,0.02,0.0,0.0,7510,0,18,0,0,1,0.0
200,0.06,0,255,0.07,0.0,0.0,0,0,20,0,0,13,0.0
1,0.0,337,100,0.04,0.01,0.01,0,0,21,1,0,2,1.0
6,0.0,3413,64,0.0,0.02,0.02,0,0,21,1,0,9,0.33
2,0.0,44,255,0.01,0.01,0.0,0,0,18,0,0,3,0.67
1,0.0,1172,255,0.02,0.0,0.0,27,7,15,1,0,1,0.0
1,0.0,157,218,0.03,0.0,0.0,0,0,7,0,0,1,0.0
209,0.07,0,255,0.08,0.0,0.0,0,0,19,0,0,4,0.0
1,0.0,146,192,0.01,0.01,0.0,0,0,2,0,0,1,0.0
1,0.0,15,96,0.05,0.01,0.02,1,0,11,0,0,7,0.57
7,0.0,668,9,0.0,0.11,0.06,0,0,21,1,0,14,0.14
110,0.0,0,255,0.0,0.0,0.0,0,0,18,0,0,110,0.0
18,0.0,6356,255,0.0,0.0,0.0,0,0,21,1,0,19,0.11
2,0.0,303,255,0.01,0.0,0.0,0,0,21,1,0,2,0.0
445,1.0,0,255,1.0,0.0,0.0,0,0,18,0,0,1,0.0
217,0.07,0,255,0.07,0.0,0.0,0,0,20,0,0,9,0.0
1,0.0,44,255,0.41,0.0,0.0,0,0,18,0,0,1,0.0
4,0.0,1203,255,0.0,0.0,0.0,0,0,21,1,0,4,0.0
13,0.0,351,254,0.0,0.0,0.01,0,0,21,1,0,20,0.1
8,0.0,0,255,0.01,0.0,0.0,2069,0,15,1,0,8,0.0
1,0.0,0,7,0.0,1.0,0.0,0,0,13,0,0,1,0.0
11,0.0,3942,32,0.0,0.03,0.05,0,0,21,1,0,34,0.06
3,0.0,1183,47,0.0,0.02,0.02,0,0,21,1,0,3,0.0
1,0.0,0,52,0.04,0.02,0.0,0,0,21,0,0,1,0.0
70,0.0,0,255,0.0,1.0,0.0,0,0,18,0,0,70,0.0
26,0.0,3160,255,0.0,0.0,0.0,0,0,21,1,0,26,0.0
1,0.0,0,255,0.03,0.04,0.0,0,0,18,0,0,2,1.0
7,0.0,1699,7,0.0,0.14,0.01,0,0,21,1,0,7,0.0
2,0.0,0,255,0.0,0.01,0.0,0,0,17,0,0,2,0.0
13,0.0,14210,30,0.0,0.03,0.05,0,0,21,1,0,13,0.0
11,0.0,327,218,0.0,0.0,0.01,0,0,21,1,0,21,0.14
325,0.0,50,255,0.0,0.93,0.0,0,0,17,0,0,325,0.0
195,0.07,0,255,0.07,0.0,0.0,0,0,21,0,0,3,0.0
10,0.0,2007,71,0.0,0.01,0.03,0,0,21,1,0,10,0.0
4,0.0,8314,255,0.01,0.0,0.0,0,2,16,1,1,6,0.5
34,0.0,1973,255,0.0,0.0,0.0,0,0,21,1,0,34,0.0
148,0.05,0,58,0.09,0.02,0.0,0,0,18,0,0,11,0.0
178,0.01,71,255,0.01,0.01,0.0,0,0,18,0,0,177,0.0
38,0.0,773,255,0.0,0.0,0.0,0,0,21,1,0,38,0.0
511,0.0,53,255,0.0,0.78,0.0,0,0,17,0,0,511,0.0
1,0.0,0,255,0.03,0.0,0.0,0,0,13,0,0,3,1.0
1,0.0,0,8,0.25,0.88,0.0,0,0,7,0,0,1,0.0
6,0.0,55311,255,0.0,0.0,0.0,0,1,21,1,0,9,0.22
202,0.06,0,255,0.06,0.0,0.0,0,0,19,0,0,10,0.0
1,0.0,0,1,0.0,1.0,0.51,0,0,15,0,0,3,0.67
35,0.0,0,255,0.0,0.0,0.0,0,0,17,0,0,35,0.0
505,0.0,50,255,0.0,0.85,0.0,0,0,17,0,0,505,0.0
42,0.0,0,255,0.0,0.0,0.0,902,0,15,1,0,42,0.0
1,0.0,0,255,0.01,0.0,0.0,0,0,10,0,0,2,1.0
1,0.0,343,96,0.04,0.01,0.0,1,0,21,1,0,2,1.0
80,0.0,44,255,0.01,0.01,0.0,0,0,18,0,0,160,0.01
29,0.0,0,255,0.0,0.0,0.0,0,0,15,0,0,29,0.0
124,0.07,0,255,0.06,0.0,0.0,0,0,21,0,0,12,0.0
117,0.07,0,255,0.06,0.0,0.0,0,0,21,0,0,11,0.0
1,0.0,1724,255,0.07,0.0,0.0,0,0,18,1,0,15,0.13
1,0.0,599,255,0.79,0.0,0.0,282,2,12,1,0,1,0.0
224,0.07,0,255,0.07,0.0,0.0,0,0,21,0,0,2,0.0
234,0.07,0,255,0.07,0.0,0.0,0,0,20,0,0,2,0.0
9,0.0,665,33,0.0,0.06,0.05,0,0,21,1,0,10,0.2
1,0.0,332,193,0.03,0.01,0.01,1,0,21,1,0,3,1.0
1,0.0,366,255,0.02,0.0,0.0,0,0,21,1,0,3,1.0
1,0.0,93,146,0.02,0.01,0.02,4,0,9,1,0,1,0.0
1,0.0,4267,1,0.0,1.0,0.04,0,0,21,1,0,2,1.0
189,0.08,0,255,0.08,0.0,0.0,0,0,21,0,0,17,0.0
509,1.0,0,255,0.98,0.0,0.0,0,0,20,0,0,1,0.0
1,0.0,0,7,0.43,0.14,0.0,0,0,18,0,0,6,0.67
9,0.0,4461,222,0.0,0.01,0.01,0,0,21,1,0,9,0.0
1,0.0,599,255,0.69,0.0,0.0,281,2,13,1,0,1,0.0
2,0.0,12823,255,0.0,0.0,0.0,0,0,21,1,0,2,0.0
20,0.0,4627,255,0.0,0.0,0.0,0,0,21,1,0,20,0.0
1,0.0,0,22,0.09,0.23,0.0,0,0,5,0,0,1,0.0
10,0.0,3528,18,0.0,0.06,0.04,0,0,21,1,0,10,0.0
252,0.06,0,138,0.09,0.01,0.0,0,0,18,0,0,19,0.0
266,0.06,0,255,0.07,0.0,0.0,0,0,20,0,0,17,0.0
294,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,16,0.0
1,0.0,157,179,0.03,0.01,0.0,0,0,7,0,0,1,0.0
5,0.4,44,255,0.01,0.01,0.0,0,0,21,0,0,4,0.0
2,0.0,2404,193,0.0,0.01,0.04,0,0,21,1,0,9,0.22
1,0.0,0,1,0.0,1.0,1.0,0,0,18,0,0,1,0.0
211,0.08,0,255,0.08,0.0,0.0,0,0,18,0,0,15,0.0
4,0.0,521,255,0.0,0.0,0.0,0,0,21,1,0,4,0.0
216,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,17,0.0
1,0.0,0,133,0.65,0.64,0.0,0,0,15,0,0,1,0.0
145,0.06,0,244,0.05,0.0,0.0,0,0,18,0,0,17,0.0
508,0.0,55,255,0.0,0.82,0.0,0,0,17,0,0,508,0.0
1,0.0,0,238,0.03,0.0,0.14,0,0,13,0,0,24,0.92
4,0.0,16193,51,0.0,0.02,0.02,0,0,21,1,0,4,0.0
140,0.06,0,255,0.05,0.0,0.0,0,0,21,0,0,17,0.0
212,0.07,0,255,0.06,0.0,0.0,0,0,21,0,0,19,0.0
20,0.0,51,255,0.0,0.07,0.0,0,0,13,0,0,20,0.0
1,0.0,0,22,0.09,0.14,0.33,280,0,2,0,0,1,0.0
1,0.0,0,8,0.25,0.88,0.13,0,0,6,0,0,1,0.0
1,0.0,0,148,0.02,0.01,0.02,0,0,18,0,0,3,1.0
290,0.06,0,255,0.07,0.0,0.0,0,0,21,0,0,16,0.0
41,0.0,655,255,0.0,0.0,0.0,0,0,21,1,0,43,0.07
1,0.0,595,255,0.76,0.0,0.0,282,2,12,1,0,1,0.0
221,0.08,0,255,0.08,0.0,0.0,0,0,21,0,0,2,0.0
18,0.0,780,18,0.0,0.06,0.07,0,0,21,1,0,19,0.11
1,0.0,44,255,0.68,0.0,0.0,0,0,18,0,0,1,0.0
13,0.0,22095,255,0.0,0.01,0.0,0,0,21,1,0,13,0.0
2,1.0,0,255,0.02,0.0,0.0,0,0,20,0,0,1,0.0
1,0.0,36,181,0.03,0.01,0.03,0,0,13,1,0,1,0.0
3,0.0,3258,18,0.0,0.06,0.01,0,0,21,1,0,52,0.1
10,0.0,677,106,0.0,0.01,0.03,0,0,21,1,0,10,0.0
511,0.0,53,255,0.0,0.98,0.0,0,0,17,0,0,511,0.0
3,1.0,0,255,0.03,0.0,0.0,0,0,14,0,0,7,1.0
3,0.0,2433,118,0.0,0.01,0.05,0,0,21,1,0,4,0.5
290,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,16,0.0
1,0.0,12206,1,0.0,1.0,0.03,0,0,21,1,0,1,0.0
213,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,8,0.0
4,0.0,8315,255,0.01,0.0,0.0,0,1,9,1,0,4,0.0
1,0.0,146,100,0.02,0.01,0.0,0,0,20,0,0,1,0.0
1,0.0,93,5,0.0,0.2,0.38,5,0,6,1,0,1,0.0
279,0.0,51,255,0.0,0.86,0.0,0,0,17,0,0,279,0.0
17,0.0,1762,233,0.0,0.0,0.01,0,0,21,1,0,17,0.0
508,1.0,0,255,1.0,0.0,0.0,0,0,20,0,0,1,0.0
1,0.0,597,255,0.03,0.0,0.0,283,2,15,1,0,1,0.0
242,0.07,0,255,0.08,0.0,0.0,0,0,21,0,0,16,0.0
160,0.09,0,255,0.09,0.0,0.0,0,0,18,0,0,14,0.0
511,1.0,0,255,0.94,0.0,0.0,0,0,20,0,0,1,0.0
11,0.0,817,50,0.0,0.02,0.01,0,0,21,1,0,28,0.21
509,0.0,55,255,0.0,0.96,0.0,0,0,17,0,0,509,0.0
21,0.0,432,255,0.0,0.0,0.0,0,0,21,1,0,21,0.0
2,0.0,0,36,0.08,0.14,0.0,0,0,20,0,0,2,0.0
205,0.06,0,255,0.05,0.0,0.0,0,0,21,0,0,12,0.0
1,0.0,93,255,0.02,0.0,0.0,3,0,15,1,0,1,0.0
5,0.0,259,101,0.0,0.01,0.02,0,0,21,1,0,12,0.33
131,0.05,0,255,0.06,0.0,0.0,0,0,21,0,0,20,0.0
1,0.0,2984,58,0.0,0.02,0.04,0,0,21,1,0,1,0.0
1,0.0,593,6,0.0,0.17,0.03,0,0,21,1,0,25,0.16
1,0.0,364,142,0.03,0.01,0.01,1,0,21,1,0,2,1.0
16,0.0,920,152,0.0,0.01,0.01,0,0,21,1,0,19,0.16
136,0.06,0,255,0.05,0.0,0.0,0,0,21,0,0,14,0.0
18,0.0,622,255,0.0,0.0,0.0,0,0,21,1,0,23,0.17
2,0.0,0,6,0.0,1.0,0.25,280,0,18,0,0,2,0.0
201,0.0,0,255,0.0,1.0,0.0,0,0,20,0,0,201,0.0
1,0.0,174,255,0.02,0.0,0.0,0,0,15,0,0,1,0.0
2,1.0,44,226,0.02,0.0,0.03,0,0,14,0,0,8,1.0
253,0.06,0,255,0.07,0.0,0.0,0,0,21,0,0,11,0.0
264,0.06,0,255,0.06,0.0,0.0,0,0,18,0,0,20,0.0
1,0.0,834163,255,0.03,0.0,0.0,0,6,3,0,0,1,0.0
197,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,5,0.0
3,0.67,75,141,0.02,0.01,0.0,0,0,21,0,0,3,0.67
103,0.07,0,255,0.06,0.0,0.0,0,0,19,0,0,2,0.0
3,0.0,8620,157,0.0,0.01,0.02,0,0,21,1,0,3,0.0
16,0.0,4228,255,0.0,0.0,0.0,0,0,21,1,0,16,0.0
511,0.0,44,255,0.0,0.83,0.0,0,0,15,0,0,511,0.0
230,0.07,0,255,0.08,0.0,0.0,0,0,21,0,0,9,0.0
95,0.86,0,104,0.8,0.91,0.0,0,0,14,0,0,1,0.0
3,1.0,0,255,0.03,0.0,0.0,0,0,15,0,0,20,1.0
16,0.0,0,255,0.01,0.0,0.0,0,0,15,0,0,16,0.0
14,0.0,6085,120,0.0,0.01,0.01,0,0,21,1,0,15,0.13
188,0.01,71,255,0.0,0.0,0.0,0,0,18,0,0,187,0.0
4,0.0,8314,255,0.01,0.0,0.0,0,2,11,1,1,9,0.22
94,0.63,1,255,0.85,0.51,0.0,0,0,16,0,0,1,0.0
4,0.75,715,255,0.03,0.0,0.0,2,0,11,0,0,7,0.71
458,1.0,0,255,0.09,0.0,0.0,0,0,19,0,0,1,0.0
1,0.0,44,255,0.35,0.0,0.0,7587,0,18,0,0,1,0.0
87,0.0,129,255,0.0,0.0,0.0,0,0,18,0,0,167,0.01
236,0.07,0,255,0.07,0.0,0.0,0,0,20,0,0,2,0.0
108,0.06,0,255,0.05,0.0,0.0,0,0,21,0,0,2,0.0
2,1.0,93,255,0.01,0.0,0.0,7,0,17,1,0,1,0.0
16,0.0,1485,255,0.0,0.0,0.0,0,0,21,1,0,17,0.12
1,0.0,15155,3,0.0,0.33,0.07,0,0,21,1,0,7,0.29
1,0.0,93,255,0.01,0.0,0.0,6,0,17,1,0,1,0.0
5,0.0,5934,255,0.0,0.0,0.0,0,0,21,1,0,5,0.0
127,0.02,46,255,0.01,0.01,0.0,0,0,18,0,0,200,0.01
511,0.0,52,255,0.0,0.78,0.0,0,0,17,0,0,511,0.0
195,0.07,0,255,0.07,0.0,0.0,0,0,18,0,0,5,0.0
5,0.0,60632,87,0.0,0.01,0.02,0,0,21,1,0,5,0.0
